;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID31;ID32;ID33;ID34;ID35;ID36;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID77
ID2;0.000000;0.921727;0.924953;0.953491;0.897567;0.923333;0.970020;0.938318;0.947804;0.981728;0.992081;0.969774;0.981868;0.989068;0.988210;0.985887;0.986242;0.989346;0.997854;0.987427;0.985610;0.986396;0.997776;0.987847;0.974823;0.974823;0.981444;0.984285;0.984262;0.999355;0.983834;0.982043;0.984852;0.988982;0.990794;0.990546;0.990947;0.999930;0.984284;0.999653;0.999253;0.995301;0.999120;0.993050;0.991173;0.998839;0.993416;0.989488;0.999009;0.985389;0.981999;0.992276;0.989475;0.978478;0.998219;0.991148;0.994758;0.982978;0.984287;0.998498;0.981615;0.984706;0.982475;0.986699
ID3;0.921727;0.000000;0.939709;0.965162;0.898506;0.924491;0.979931;0.964817;0.960220;0.989266;0.995352;0.978807;0.987740;0.993200;0.992502;0.992676;0.990168;0.993768;0.999065;0.992015;0.992147;0.990214;0.998491;0.992588;0.987182;0.986812;0.991558;0.994778;0.992197;0.999811;0.990860;0.990406;0.985598;0.992601;0.990246;0.989869;0.991420;0.999891;0.990683;0.999746;0.998914;0.992634;0.998267;0.990768;0.990132;0.998683;0.990542;0.988731;0.998839;0.986971;0.991707;0.990136;0.986807;0.989917;0.998329;0.988597;0.992065;0.985501;0.983590;0.998445;0.982293;0.984543;0.984772;0.994546
ID4;0.924953;0.939709;0.000000;0.938520;0.894358;0.952474;0.978542;0.970022;0.972164;0.990235;0.995205;0.983584;0.990580;0.993502;0.992825;0.992836;0.991337;0.993997;0.998900;0.993003;0.992640;0.991202;0.998038;0.992901;0.988533;0.988759;0.992468;0.994715;0.993738;0.999665;0.992219;0.991852;0.989536;0.993506;0.991977;0.991201;0.992717;0.999898;0.992061;0.999694;0.998730;0.994982;0.998622;0.993369;0.992813;0.998153;0.992930;0.991202;0.998567;0.989381;0.991967;0.992949;0.990665;0.990624;0.997955;0.991516;0.994395;0.988509;0.988297;0.997608;0.986393;0.988243;0.988136;0.994548
ID5;0.953491;0.965162;0.938520;0.000000;0.901416;0.977416;0.966520;0.973090;0.976246;0.990738;0.995785;0.985268;0.994165;0.995816;0.995430;0.995383;0.994807;0.996307;0.999137;0.995320;0.995254;0.994446;0.998746;0.995443;0.992865;0.992799;0.995120;0.996465;0.995892;0.999679;0.995270;0.994890;0.993848;0.996068;0.995471;0.994658;0.995607;0.999949;0.994786;0.999662;0.999268;0.996834;0.998895;0.996074;0.995565;0.998931;0.996108;0.994890;0.999272;0.993750;0.994504;0.995923;0.994398;0.993501;0.998709;0.995031;0.996657;0.993196;0.993382;0.998562;0.991893;0.993094;0.992870;0.996211
ID6;0.897567;0.898506;0.894358;0.901416;0.000000;0.938184;0.972067;0.947714;0.945421;0.983698;0.993306;0.975976;0.985019;0.990470;0.989815;0.989455;0.986949;0.991326;0.998803;0.989333;0.988942;0.986965;0.998527;0.989840;0.981909;0.981625;0.987888;0.991534;0.989719;0.999792;0.987715;0.987117;0.983320;0.990721;0.988765;0.988112;0.989522;0.999925;0.987185;0.999768;0.999231;0.992972;0.999020;0.990295;0.989133;0.998643;0.990524;0.987029;0.999116;0.983695;0.987161;0.989295;0.985303;0.984560;0.998434;0.987452;0.991915;0.981702;0.981644;0.998660;0.978819;0.981642;0.980799;0.991319
ID7;0.923333;0.924491;0.952474;0.977416;0.938184;0.000000;0.977790;0.971245;0.968257;0.990743;0.995579;0.978750;0.989088;0.993548;0.992794;0.993012;0.991148;0.993923;0.998814;0.992873;0.992723;0.991055;0.998038;0.992999;0.988238;0.988032;0.991993;0.994961;0.993286;0.999709;0.991641;0.991194;0.988122;0.993225;0.991476;0.991017;0.992421;0.999903;0.991207;0.999651;0.998944;0.994881;0.998715;0.993099;0.992380;0.998298;0.993061;0.990977;0.998553;0.989108;0.992366;0.992443;0.989837;0.990592;0.997885;0.991392;0.994242;0.988195;0.987119;0.997727;0.985518;0.987578;0.987690;0.994775
ID8;0.970020;0.979931;0.978542;0.966520;0.972067;0.977790;0.000000;0.944969;0.941158;0.980866;0.990048;0.945202;0.988458;0.992882;0.992278;0.990468;0.990007;0.993048;0.998290;0.991727;0.991403;0.990619;0.998422;0.992720;0.984323;0.984906;0.989629;0.991789;0.989702;0.999053;0.990479;0.989939;0.990079;0.993639;0.993268;0.993330;0.993700;0.999949;0.990399;0.999730;0.999101;0.996401;0.998721;0.995327;0.993827;0.998912;0.995041;0.992552;0.999057;0.990307;0.989231;0.994581;0.992844;0.986688;0.998652;0.994034;0.996608;0.989543;0.991246;0.998636;0.989123;0.989782;0.988606;0.992127
ID9;0.938318;0.964817;0.970022;0.973090;0.947714;0.971245;0.944969;0.000000;0.918623;0.973927;0.990082;0.951218;0.982712;0.989895;0.989058;0.987577;0.987218;0.990192;0.998489;0.987673;0.986742;0.987812;0.998382;0.989459;0.976452;0.976725;0.974919;0.979290;0.979704;0.999467;0.985209;0.982938;0.984752;0.989069;0.991696;0.991334;0.991691;0.999929;0.986196;0.999771;0.999228;0.995196;0.999141;0.993198;0.991159;0.999041;0.993398;0.990325;0.999171;0.986056;0.984508;0.991895;0.989333;0.981114;0.998819;0.991532;0.994977;0.984119;0.985964;0.998847;0.983722;0.985225;0.983313;0.989024
ID10;0.947804;0.960220;0.972164;0.976246;0.945421;0.968257;0.941158;0.918623;0.000000;0.939668;0.972235;0.895049;0.964569;0.982510;0.980602;0.980580;0.974535;0.984138;0.998484;0.975247;0.976635;0.975547;0.998204;0.981789;0.959397;0.958571;0.973987;0.984392;0.975246;0.999705;0.973505;0.974194;0.959250;0.983192;0.979502;0.978706;0.982155;0.999788;0.969612;0.999688;0.998618;0.986199;0.998610;0.981255;0.977400;0.998362;0.981907;0.974385;0.998583;0.966230;0.975121;0.977413;0.966973;0.968688;0.998273;0.976703;0.985157;0.961612;0.963012;0.998354;0.956556;0.957259;0.954302;0.984818
ID11;0.981728;0.989266;0.990235;0.990738;0.983698;0.990743;0.980866;0.973927;0.939668;0.000000;0.915589;0.951036;0.984927;0.990964;0.990594;0.989150;0.988529;0.991270;0.992167;0.987945;0.988348;0.989056;0.998928;0.990978;0.982007;0.981684;0.986349;0.990039;0.989437;0.999479;0.987502;0.987581;0.986070;0.991681;0.992150;0.992103;0.992457;0.999952;0.985449;0.999813;0.999411;0.995572;0.999352;0.993737;0.991898;0.999354;0.994073;0.990932;0.999424;0.987457;0.986002;0.992629;0.990299;0.983300;0.999178;0.992137;0.995246;0.985738;0.987665;0.999260;0.985401;0.985868;0.983967;0.990502
